
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009255                       # Number of seconds simulated (Second)
simTicks                                   9255479000                       # Number of ticks simulated (Tick)
finalTick                                  9255479000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    162.22                       # Real time elapsed on the host (Second)
hostTickRate                                 57055697                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1206040                       # Number of bytes of host memory used (Byte)
simInsts                                     41762875                       # Number of instructions simulated (Count)
simOps                                       70337822                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   257448                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     433600                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         18510959                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        71430850                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       25                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       74875688                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3146                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1093047                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1626254                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            18427487                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.063261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.354758                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1387488      7.53%      7.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2087370     11.33%     18.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1140764      6.19%     25.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2790512     15.14%     40.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3632164     19.71%     59.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2066556     11.21%     71.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1917180     10.40%     81.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1472886      7.99%     89.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1932567     10.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18427487                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   16174      0.72%      0.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.72% # attempts to use FU when none available (Count)
